Item,,M4,M4 BiLevel,M3,M3 BiLevel,X4,Electronic,Orig/Biax,Keymark
11C923-S,,,,,,411,,,443.88
11C924-P,,,,,,444,,,476.88
11C924-S,,,,,,411,,,443.88
11C925-P,,,,,,444,,,476.88
11C925-S,,,,,,411,,,443.88
11C926-P,,,,,,444,,,476.88
11C926-S,,,,,,411,,,443.88
11C941-P,,,,,,300.5,,,323.22
11C941-S,,,,,,284,,,306.72
11C942-P,,,,,,300.5,,,323.22
11C942-S,,,,,,284,,,306.72
11C991-P,,,,,,300.5,,,323.22
11C991-S,,,,,,284,,,306.72
11C992-P,,,,,,300.5,,,323.22
11C992-S,,,,,,284,,,306.72
11R503-P,,293.5,244.45,299.04,247.22,,,315.66,
11R503-S,,277,235.45,282.54,238.22,,,299.16,
11R504-P,,293.5,244.45,299.04,247.22,,,315.66,
11R504-S,,277,235.45,282.54,238.22,,,299.16,
11R523-P,,403,332.5,410.4,336.2,,,432.6,
11R523-S,,370,314.5,377.4,318.2,,,399.6,
11R524-P,,403,332.5,410.4,336.2,,,432.6,
11R524-S,,370,314.5,377.4,318.2,,,399.6,
11R533-P,,456,377.55,464.46,381.78,,,489.84,
11R533-S,,423,359.55,431.46,363.78,,,456.84,
11R534-P,,456,377.55,464.46,381.78,,,489.84,
11R534-S,,423,359.55,431.46,363.78,,,456.84,
11R57L,,222.11,,222.11,,,,222.11,
11R5DL,,296.11,,296.11,,,,296.11,
11R601 C,,,,,,,1136.59,,
11R601 S,,,,,,,1033.84,,
11R602 C,,,,,,,1136.59,,
11R602 S,,,,,,,1033.84,,
11R603 C,,,,,,,1136.59,,
11R603 S,,,,,,,1033.84,,
11R603-P,,293.5,244.45,299.04,247.22,,,315.66,
11R603-S,,277,235.45,282.54,238.22,,,299.16,
11R604 C,,,,,,,1136.59,,
11R604 S,,,,,,,1033.84,,
11R604-P,,293.5,244.45,299.04,247.22,,,315.66,
11R604-S,,277,235.45,282.54,238.22,,,299.16,
11R605 C,,,,,,,1136.59,,
11R605 S,,,,,,,1033.84,,
11R606 C,,,,,,,1136.59,,
11R606 S,,,,,,,1033.84,,
11R60L C,,,,,,,1052.04,,
11R60L S,,,,,,,949.29,,
11R621 S,,,,,,,1143.34,,
11R622 S,,,,,,,1143.34,,
11R623 S,,,,,,,1143.34,,
11R623-P,,403,332.5,410.4,336.2,,,432.6,
11R623-S,,370,314.5,377.4,318.2,,,399.6,
11R624 S,,,,,,,1143.34,,
11R624-P,,403,332.5,410.4,336.2,,,432.6,
11R624-S,,370,314.5,377.4,318.2,,,399.6,
11R625 S,,,,,,,1143.34,,
11R626 S,,,,,,,1143.34,,
11R62L S,,,,,,,1058.79,,
11R633-P,,456,377.55,464.46,381.78,,,489.84,
11R633-S,,423,359.55,431.46,363.78,,,456.84,
11R634-P,,456,377.55,464.46,381.78,,,489.84,
11R634-S,,423,359.55,431.46,363.78,,,456.84,
11R67L,,222.11,,222.11,,,,222.11,
11R6DL,,296.11,,296.11,,,,296.11,
1200100 T,,71.7,,73.13,,,,,
12001002 -,,77.44,,,,,,,
12001006 W,,71.7,,73.13,,,,,
1200500 T,,71.7,,73.13,,,,,
12005002 -,,71.7,,73.13,,,,,
12005006 W,,71.7,,73.13,,,,,
1202000 T,,71.7,,73.13,,,,,
12020002 -,,77.44,,,,,,,
12020006 W,,77.44,,,,,,,
1202100 T,,71.7,,73.13,,,,,
12021002 -,,77.44,,,,,,,
12021006 W,,77.44,,,,,,,
1202800,132/136,64.3,,65.59,,,,,
1202900,132/136,64.3,,65.59,,,,,
1203000 T,,71.7,,73.13,,,,,
12030002 -,,77.44,,,,,,,
12030006 W,,77.44,,,,,,,
12126022 -,,77.44,,,,,,,
12126156 W,,77.44,,,,,,,
1212633 T,,71.7,,73.13,,,,,
1228600,,70.4,,71.81,,,,,
1228800,,70.4,,71.81,,,,76.03,
1236200,136,69.44,,,,,,,
1238900 J,,71.7,,72.42,,,,,
1239000 J,,71.7,,72.42,,,,,
1239100 J,,71.7,,72.42,,,,,
1243400,136,64.3,,65.59,,,,,
1251200 J,,71.7,,72.42,,,,,
1251300 J,,71.7,,72.42,,,,,
13327,,99.1,,,,,,,
13346,,99.1,,,,,,,
13375,,99.1,,,,,,,
2000400-P,,174.5,95.11,177.66,96.69,,,187.14,
2000400-S,,158,86.11,161.16,87.69,,,170.64,
2000700-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2000700-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2000800-P,,174.5,95.11,177.66,96.69,,,187.14,
2000800-S,,158,86.11,161.16,87.69,,,170.64,
2000827-P,,174.5,95.11,177.66,96.69,,,187.14,
2000827-S,,158,86.11,161.16,87.69,,,170.64,
20008S4-P,,180.49,101.1,183.65,102.68,,,193.13,
20008S4-S,,163.99,92.1,167.15,93.68,,,176.63,
2000900 S,,,,,,,905.04,,
2000900-P,,174.5,95.11,177.66,96.69,110.64,,187.14,120.74
2000900-S,,158,86.11,161.16,87.69,94.14,,170.64,104.24
2000938 S,,,,,,,919.21,,
2000938-P,,188.67,109.28,191.83,110.86,124.81,,201.31,
2000938-S,,172.17,100.28,175.33,101.86,108.31,,184.81,
2000956-P,,173.16,93.77,176.32,95.35,109.3,,,
2000956-S,,156.66,84.77,159.82,86.35,92.8,,,
20009S4 S,,,,,,,911.03,,
20009S4-P,,180.49,101.1,183.65,102.68,116.63,911.03,193.13,126.73
20009S4-S,,163.99,92.1,167.15,93.68,100.13,,176.63,110.23
2001200-P,,174.5,95.11,177.66,96.69,,,187.14,
2001200-S,,158,86.11,161.16,87.69,,,170.64,
2001300-P,,174.5,95.11,177.66,96.69,,,187.14,
2001300-S,,158,86.11,161.16,87.69,,,170.64,
2001400-P,,174.5,95.11,177.66,96.69,,,187.14,
2001400-S,,158,86.11,161.16,87.69,,,170.64,
200155-P,,,,,,,,,157.46
200155-S,,,,,,,,,140.96
2001600 G,,,,,,,350.29,,
